id,permit_no,permit_date,permit_type,description,status,address,page_number,captured_at
12541,B241447,10/12/2024,"Building New Construction, Additions, Alterations or Sign","ADDITION TO THE GARAGE, STRUCTURAL REINFORCEMENT OF GARAGE WALLS & RELOCATE OUTDOOR HEAT PUMP UNIT.",Issued,"7 LA MESA LN, WALCR CA 94598",1046,2026-07-18T09:15:35.950789
12538,B241449,10/12/2024,"Building New Construction, Additions, Alterations or Sign","ENCLOSE HALF VERANDA TO OFFICE SPACE, FULL INTERIOR REMODEL & ADDITION OF BATHROOM",Finaled,"1233 SINGINGWOOD CT, 8, WALCR CA 94595",1045,2026-07-18T09:15:31.710075
12526,M241996-E,10/14/2024,"EV Charger/Battery Storage System - Residential","ONLINE - NEW ENERGY STORAGE SYSTEM ON MAIN DWELLING. ADDITION OF ONE NEW TESLA 5 KW, 13.5 KWH POWERWALL-2 BATTERY, ONE TESLA GATEWAY CONTROLLER, AND ASSOCIATED HARDWARE.",Finaled,"3074 ARBOLADO CT, WALCR CA 94598",1044,2026-07-18T09:15:26.685817
12519,M242000-E,10/14/2024,"Residential Mechanical: HVAC, Furnace, Air Conditioner Replacement or Ductwork ONLY (no relocation)","Kitchen and bathroom remodeling",Void,"2304 PTARMIGAN DR, 2, WALCR CA 94595",1044,2026-07-18T09:15:26.685817
12512,B241453,10/14/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL. TWO FULL EXISTING BATHS REMODEL. REPLACE FRONT DOOR. REMOVE POPCORN CEILINGS.",Finaled,"2304 PTARMIGAN DR, 2, WALCR CA 94595",1043,2026-07-18T09:15:22.949867
12509,B241454,10/14/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL: Remove existing countertop, backsplash, sink & faucet. Remove range and dishwasher and reinstall. Install new countertop and full height backsplash. Install new sink and faucet.",Finaled,"2650 SAKLAN INDIAN DR, 3, WALCR CA 94595",1043,2026-07-18T09:15:22.949867
12508,B241455,10/14/2024,"Building New Construction, Additions, Alterations or Sign","Bathroom remodel",Finaled,"1871 STRATTON CR CIR, WALCR CA 94598",1043,2026-07-18T09:15:22.949867
12498,S24240-E,10/15/2024,"Solar System - Residential","ONLINE - 1.095 Kw system addition to Existing system",Finaled,"2635 COMISTAS DR, WALCR CA 94598",1042,2026-07-18T09:15:18.580392
12484,B241457,10/15/2024,"Building New Construction, Additions, Alterations or Sign","(N) DETACHED 578 SF ADU",Finaled,"120 SUMMIT RD, WALCR CA 94598",1041,2026-07-18T09:15:14.401496
12483,B241458,10/15/2024,"Building New Construction, Additions, Alterations or Sign","Adding 211 SF to living room addition - ADU",Finaled,"120 SUMMIT RD, WALCR CA 94598",1041,2026-07-18T09:15:14.401496
12462,S24243-E,10/16/2024,"Solar System - Residential","ONLINE - removal and re installation of 6 pv mods for addition to home. second story being added and panels will be installed on new addition.",Finaled,"1201 DEWING LN, WALCR CA 94595",1039,2026-07-18T09:15:07.340602
12461,R24332,10/16/2024,"Building Revision to Issued Permit","Modify top of new foundation wall to include a curtain wall detail to obtain required clearance above adjacent finish grade - REVISION TO B240955","Revision Issued","550 ROCK OAK RD, WALCR CA 94598",1039,2026-07-18T09:15:07.340602
12460,B241464,10/16/2024,"Building New Construction, Additions, Alterations or Sign","Build a single-story 18.3' x 16.0' addition to include bath, bed and retreat area. Build a connecting hallway to the house 7.6’ x 3.4’ into the existing family room including 2 head mini split HVAC system and gas tankless water heater.",Finaled,"1533 ORLANDO CT, WALCR CA 94597",1039,2026-07-18T09:15:07.340602
12459,B241465,10/16/2024,"Building New Construction, Additions, Alterations or Sign",ADDITION,"Conditionally Approved","1525 PICO WAY, WALCR CA 94597",1039,2026-07-18T09:15:07.340602
12451,B241467,10/17/2024,"Building New Construction, Additions, Alterations or Sign","Primary and Spare Bathroom Remodel",Finaled,"3288 TERRA GRANADA DR, 4C, WALCR CA 94595",1038,2026-07-18T09:15:03.044580
12417,B241474,10/19/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen remodel to include demo, install new cabinets, appliances, electrical, plumbing, window in kitchen and office, counter top, new fixtures.",Finaled,"1252 SINGINGWOOD CT, 6, WALCR CA 94595",1035,2026-07-18T09:14:51.017175
12412,B241508,10/20/2024,"Building New Construction, Additions, Alterations or Sign","Interior remodel to include conversion of family room to bedroom 4, conversion of half bathroom to full bathroom, kitchen remodel and hall bathroom remodel like for like.",Finaled,"3148 ECCLESTON AV AVE, WALCR CA 94597",1035,2026-07-18T09:14:51.017175
12330,B241495,10/23/2024,"Building New Construction, Additions, Alterations or Sign","Scope of project shall include the remodel of an existing single family residence on an existing lot of record. Wall between kitchen and living room and dining room shall be removed and kitchen will be remodeled. Various upgrades throughout.",Finaled,"483 VIA ROYAL, WALCR CA 94597",1028,2026-07-18T09:14:22.876998
12306,B241511,10/24/2024,"Building New Construction, Additions, Alterations or Sign","FOUNDATION BOLTING - STANDARD PLAN A",Finaled,"1126 CONEJO WY WAY, WALCR CA 94597",1026,2026-07-18T09:14:14.438129
12260,B241522,10/25/2024,"Building New Construction, Additions, Alterations or Sign","Foundation repair using 8 push piers.",Finaled,"1940 KINGRIDGE CT, WALCR CA 94596",1022,2026-07-18T09:13:59.252618
12255,M242096,10/25/2024,"Mechanical, Electrical, or Plumbing Only","re-route both hot and cold water over head and out of slab foundation for water only.",Finaled,"1764 HOLLAND CR CIR, WALCR CA 94597",1022,2026-07-18T09:13:59.252618
12241,B241527,10/28/2024,"Building New Construction, Additions, Alterations or Sign","Replace existing porch with new house addition. Remodel bathroom, bedroom, kitchen and existing garage. Add a laundry room and office. Remodel existing bedroom/bathroom and laundry room and turn it into a junior ADU.",Issued,"151 NORLYN DR, A, WALCR CA 94596",1021,2026-07-18T09:13:54.917020
12223,B241531,10/29/2024,"Building New Construction, Additions, Alterations or Sign","Install new Detached ADU 749 SQF 2 Bedroom and 2 Bathroom See Revisions: R25073",Finaled,"2473 ENCINAL DR, A, WALCR 94597",1019,2026-07-18T09:13:46.797326
12218,B241533,10/29/2024,"Building New Construction, Additions, Alterations or Sign","Remodel kitchen and primary bathroom- including new cabinets, appliances, fixtures, flooring & lighting in the kitchen. New cabinets, fixtures, flooring & lighting in the primary bathroom. Plumbing & electrical to remain in same locations in both rooms. Replace and upgrade subpanel.",Finaled,"417 BRUTUS CT, WALCR CA 94598",1019,2026-07-18T09:13:46.797326
12201,M242131,10/29/2024,"Mechanical, Electrical, or Plumbing Only","Master bath partial remodel",Expired,"2641 GOLDEN RAIN RD, 6, WALCR CA 94595",1017,2026-07-18T09:13:38.474905
12200,R24343,10/29/2024,"Building Revision to Issued Permit","REVISION TO M241809: Install surface mount outside sub panel. ADU address 2033A Essenay, Main house address 2033 Essenay. Correction drawing for update on gas pipe location and location of sub panel.","Revision Issued","2033 ESSENAY AVE, A, WALCR 94597",1017,2026-07-18T09:13:38.474905
12193,S24252-E,10/30/2024,"Solar System - Residential","ONLINE - Additional roof mounted solar: 4.74kW, 12 Modules, 2 Batteries (5.0kWh) REVISION UNDER R25076 & R25181",Finaled,"1655 FIRST AV AVE, WALCR CA 94596",1017,2026-07-18T09:13:38.474905
12187,M242115,10/30/2024,"Mechanical, Electrical, or Plumbing Only","Full Bath Remodel and Electrical Panel Upgrade",Void,"3223 ROSSMOOR PKWY, 2, WALCR CA 94595",1016,2026-07-18T09:13:34.515541
12186,B241537,10/30/2024,"Building New Construction, Additions, Alterations or Sign","Foundation repair using 5 push piers.",Finaled,"656 ST IVES CT, WALCR CA 94598",1016,2026-07-18T09:13:34.515541
12177,B241539,10/30/2024,"Building New Construction, Additions, Alterations or Sign","ADDITION & REMODEL",Finaled,"3209 GOLDEN RAIN RD, 3, WALCR CA 94595",1015,2026-07-18T09:13:30.497484
12175,B241541,10/31/2024,"Building New Construction, Additions, Alterations or Sign","2 bathroom remodel, like for like 14sf both bathrooms, demo, new vanities, led recess lights 6"" and 4"" new valves, toilets, ceiling fans, painting, tile work",Finaled,"589 CESAR CT, WALCR CA 94598",1015,2026-07-18T09:13:30.497484
12174,B241542,10/31/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen remodel, doors and windows, pool bath remodel. Addition of bathroom and patio cover.",Issued,"2095 STRATTON RD, WALCR CA 94598",1015,2026-07-18T09:13:30.497484
12169,B241543,10/31/2024,"Building New Construction, Additions, Alterations or Sign","-First floor addition will include addition of a new foyer, expansion of existing garage. -Second floor addition will include addition of two new bedrooms, a new bonus room, and a new bathroom.","Conditionally Approved","2877 LARKEY LN, WALCR CA 94597",1015,2026-07-18T09:13:30.497484
12154,M242126-E,10/31/2024,"EV Charger/Battery Storage System - Residential","ONLINE - NEW ENERGY STORAGE SYSTEM ON MAIN DWELLING. ADDITION OF ONE NEW TESLA 5 KW, 13.5 KWH POWERWALL-2 BATTERY, ONE TESLA GATEWAY CONTROLLER, AND ASSOCIATED HARDWARE.",Finaled,"805 WALNUT AV AVE, WALCR CA 94598",1013,2026-07-18T09:13:22.238970
12136,B241549,11/01/2024,"Building New Construction, Additions, Alterations or Sign","2 bathroom partial remodel and electric fireplace",Finaled,"2814 SAKLAN INDIAN DR, WALCR CA 94595",1012,2026-07-18T09:13:18.588867
12128,B241594,11/02/2024,"Building New Construction, Additions, Alterations or Sign","DEMOLITION OF GARAGE, NEW GARAGE & ADDITION",Withdrawn,"3248 HUDSON AV AVE, WALCR CA 94597",1011,2026-07-18T09:13:13.497167
12126,B241550,11/03/2024,"Building New Construction, Additions, Alterations or Sign","bathroom remodel - non-structural",Finaled,"221 WHITNEY CT, WALCR CA 94598",1011,2026-07-18T09:13:13.497167
12125,B241579,11/03/2024,"Building New Construction, Additions, Alterations or Sign","Chick-fil-A to remodel its current restaurant with a focus on modernizing the interior space, revamping the takeout/drive-thru preparation area, installing a self-opening and closing Tormax Door to replace the existing drive-thru window, adding a new team service door within the new drive-thru cockpit area, new level sidewalk for the new team service door, eliminating the play area to create additional seating, upgrading and adding new kitchen equipment, and adding a new metal column.","With Customer for Response","2750 N MAIN ST, WALCR CA 94597",1011,2026-07-18T09:13:13.497167
12115,M242140,11/04/2024,"Mechanical, Electrical, or Plumbing Only","AC and furnace like-to-like replacement. Ductless mini-split heat pump addition.",Finaled,"1124 BANCROFT RD, WALCR CA 94598",1010,2026-07-18T09:13:09.644879
12114,P24060,11/04/2024,"Pool or Spa - New, Remodel or Demolition","remodel existing swimming pool and spa. fix cracks in pool. replace pool floor, replace most plumbing, replace old pool equipment remove and replace old pool decking, replaster pool and spa, remove and replace tile",Finaled,"3305 INVERNESS DR, WALCR CA 94598",1010,2026-07-18T09:13:09.644879
12080,B241560,11/05/2024,"Building New Construction, Additions, Alterations or Sign","This is a duplex. We are remodeling one of the kitchens with new cabinets and new appliances (not moving appliance locations). We are also changing part of the living room space in each unit to a new bedroom and en-suite bathroom. REVISION UNDER B241560",Finaled,"15 SUTTERS MILL CT, WALCR CA 94596",1007,2026-07-18T09:12:57.500323
12078,B241562,11/05/2024,"Building New Construction, Additions, Alterations or Sign","805 sf addition and interior remodel",Finaled,"1344 BODEGA PL, WALCR CA 94597",1007,2026-07-18T09:12:57.500323
12064,B241565,11/06/2024,"Building New Construction, Additions, Alterations or Sign","master bathroom remodel like for like",Finaled,"1077 WALNUT AV AVE, WALCR CA 94598",1006,2026-07-18T09:12:52.183683
12007,M242186,11/07/2024,"Mechanical, Electrical, or Plumbing Only","(Partial Reroute) Re-routing 2 separate leaking cold water feed lines in slab foundation, running new single cold water line in wall and across the ceiling in unit 25 to re-supply unit 25 kitchen cold side also resupplying unit 26 kitchen cold side, also re supplying unit 27 hose bib on a communal water line from unit 25 kitchen cold line to restore outdoor unit 27 hose bib. (cold side only)",Issued,"2560 WALNUT BL BLVD, 25, WALCR CA 94596",1001,2026-07-18T09:12:33.913555
12005,B241574,11/08/2024,"Building New Construction, Additions, Alterations or Sign","Foundation repair using 16 push piers.",Finaled,"628 HOVE CT, WALCR CA 94598",1001,2026-07-18T09:12:33.913555
11985,B241623,11/09/2024,"Building New Construction, Additions, Alterations or Sign","Remodel existing kitchen and bathroom, enlarge one existing window and add a sliding glass door, replace closet doors and add a utility sink. Replace the existing gas water heater (tank type) with an electric tankless water heater. Project includes M/E/P work.",Finaled,"1388 ROCKLEDGE LN, 1, WALCR CA 94595",999,2026-07-18T09:12:25.611774
11970,B241576,11/11/2024,"Building New Construction, Additions, Alterations or Sign","Remodel 2 bathrooms, replace windows and patio doors, and install recess lights in living room, kitchen, and 2 bedrooms, and install LVP flooring.",Finaled,"1995 CACTUS CT, 2, WALCR CA 94595",998,2026-07-18T09:12:21.051936
11926,B241583,11/14/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen and 3-bath remodel without structural change and associated MEPs",Finaled,"767 N GATE PL, WALCR CA 94598",994,2026-07-18T09:12:04.815281
11917,M242220,11/14/2024,"Mechanical, Electrical, or Plumbing Only","We will be remodeling the Master bathroom. We will be removing the tub and installing a walk in shower; the toilet will be moved approx 6' on center from one corner to the other. The electrical will all stay the same and no structural changes will be made.",Void,"311 PICKERING PL, WALCR CA 94598",994,2026-07-18T09:12:04.815281
11907,B241585,11/14/2024,"Building New Construction, Additions, Alterations or Sign","We will be remodeling the Master Bathroom and will be removing the existing bath tub and will be installing a walk in shower. Also, the existing toilet will be moved in the opposite corner approx 6' on center. No structural work will be performed and the existing electrical will not be moved.",Finaled,"311 PICKERING PL, WALCR CA 94598",993,2026-07-18T09:12:00.349194
11906,B241586,11/14/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen remodel and water heater relocation",Renewed,"1878 HOLLAND DR, WALCR CA 94597",993,2026-07-18T09:12:00.349194
11889,B241590,11/15/2024,"Building New Construction, Additions, Alterations or Sign","Furnish labor and material for the installation of 16 Push Piers to raise and stabilize the vertical settlement on the underpinned portion of the perimeter concrete foundation",Finaled,"1408 CORONA PL, WALCR CA 94597",991,2026-07-18T09:11:52.285658
11881,M242231-E,11/15/2024,"EV Charger/Battery Storage System - Residential","ONLINE - NEW ENERGY STORAGE SYSTEM ON MAIN DWELLING. ADDITION OF ONE NEW TESLA 5 KW, 13.5 KWH POWERWALL-2 BATTERY, ONE TESLA GATEWAY CONTROLLER, AND ASSOCIATED HARDWARE.",Finaled,"51 N GATE RD, WALCR CA 94598",991,2026-07-18T09:11:52.285658
11851,B241607,11/18/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen Remodel, remove existing bearing wall and install (2) new beams in its place. Frame new 5th bedroom at upper level inside existing very large Primary bedroom. Remove/Replace 4 windows as per plan and install new 5' French doors - all at existing headers. No addition and No change to Shear",Finaled,"420 GRAND OAK CT, WALCR CA 94598",988,2026-07-18T09:11:40.682697
11835,B241600,11/19/2024,"Building New Construction, Additions, Alterations or Sign","Unit remodel",Finaled,"2833 PTARMIGAN DR, 2, WALCR CA 94595",987,2026-07-18T09:11:36.119601
11834,M242251-E,11/19/2024,"EV Charger/Battery Storage System - Residential","ONLINE - NEW ENERGY STORAGE SYSTEM ON MAIN DWELLING. ADDITION OF ONE NEW TESLA 5 KW, 13.5 KWH POWERWALL-2 BATTERY, ONE TESLA GATEWAY CONTROLLER, AND ASSOCIATED HARDWARE.",Finaled,"2515 HOPI CT, WALCR CA 94598",987,2026-07-18T09:11:36.119601
11806,D24028,11/20/2024,"Building Demolition Full","- COMPLETE DEMOLITION OF EXISTING 2-STORY BUILDING TO INCLUDE ALL EXTERIOR AND INTERIOR (PREVIOUSLY ""NIEMAN MARCUS"" BUILDING) IMPROVEMENTS WITHIN BUILDING FOOTPRINT FOR THE FIRST, SECOND AND ROOF LEVELS. - FULL DEMOLITION OF THE FIRST FLOOR STRUCTURAL FOUNDATION INCLUDES THE REMOVAL OF ALL GRADE BEAMS AND PIER CAPS AND ADDITIONALLY THE REMOVAL OF 6'-0"" OF SOIL BELOW FINISH GRADE AS NEEDED TO CUT AND REMOVE ALL PIERS AT A DEPTH OF 6'-0"" BELOW GRADE. THE SOIL SHALL BE RE-COMPACTED TO A LEVELED GRADING ELEVATION FOR FUTURE TENANT REUSE. - PARTIAL DEMOLITION OF THE BASEMENT LEVEL WITH THE INTENT TO MAINTAIN THE SURROUNDING STRUCTURAL CONCRETE WALLS, COLUMNS, FLOOR SLAB, AND SEWAGE EJECTOR ROOM FOR FUTURE TENANT RE-USE. SCOPE INCLUDES THE ADDITION OF TEMPORARY SHORING FOR BASEMENT WALLS. - COMPLETE INTERIOR DEMOLITION SHALL INCLUDE ALL ROOFTOP EQUIPMENT, ELECTRICAL SERVICE AND COMPONENTS, HVAC DISTRIBUTION AND DUCTING. GC TO COORDINATE ANY SALVAGEABLE EQUIPMENT WITH LANDLORD AND FUTURE TENANT FOR REUSE. - REMOVAL OF ALL UTILITIES LINES WITHIN THE BUILDING. UTILITIES TO BE CAPPED WITHIN THE PARCEL LINE INCLUDE: ELECTRICAL, SANITARY, GAS, DOMESTIC WATER, FIBER/DATA AND FIRE SPRINKLER. - DEMOLITION OF ALL VERTICAL CIRCULATION ELEMENTS INCLUDING ELEVATORS, ESCALATORS & STAIRS. - DEMOLITION OF ALL EXISTING SITE IMPROVEMENTS WITHIN THE PARCEL LINE.","Conditionally Approved","1000 S MAIN ST, WALCR CA 94596",984,2026-07-18T09:11:25.352005
11805,R24361,11/20/2024,"Building Revision to Issued Permit","RELCATION OF RESTROOM & ADDITION OF 2 POWER & DATA OUTLETS TO B240566","Revision Issued","2540 N MAIN ST, WALCR CA 94597",984,2026-07-18T09:11:25.352005
11801,D24029,11/21/2024,"Building Demolition Full","- COMPLETE DEMOLITION OF EXISTING 1-STORY BUILDING (FORMER CHICO'S) FACING MT. DIABLO BLVD - DEMOLITION OF SITE IMPROVEMENTS WITHIN PARCEL LINE TO INCLUDE SERVICE COURTYARD, CANOPY AND HARDSCAPE - INCLUDE REMOVAL OF ALL ROOFTOP EQUIPMENT - DEMOLITION OF BUILDING ALSO INCLUDES THE RAISED FLOOR FOUNDATION AND PERIMETER CONCRETE STEM WALLS. THE ENTIRE RAISED FLOOR FOOTING AND GRADE BEAMS ARE TO BE DEMOLISHED.","Conditionally Approved","1401 MT DIABLO BL BLVD, WALCR CA 94596",984,2026-07-18T09:11:25.352005
11797,B241612,11/21/2024,"Building New Construction, Additions, Alterations or Sign","INTERIOR REMODEL",Finaled,"577 MADONNA LN, WALCR CA 94597",984,2026-07-18T09:11:25.352005
11773,B241688,11/21/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen remodel in kind; 90 A sub-panel upgrade to accommodate additional circuits as required by current code.",Finaled,"317 MEGHAN LN, WALCR CA 94597",982,2026-07-18T09:11:17.971740
11766,B241618,11/22/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen Remodel",Finaled,"3136 ROSSMOOR PKWY, 2, WALCR CA 94595",981,2026-07-18T09:11:13.851999
11762,B241624,11/22/2024,"Building New Construction, Additions, Alterations or Sign","Bathroom Remodel",Finaled,"1621 PTARMIGAN DR, 9A, WALCR CA 94595",981,2026-07-18T09:11:13.851999
11755,B241625,11/22/2024,"Building New Construction, Additions, Alterations or Sign","Foundation repair using 9 push piers, 3 screw jacks and 2 IntelliJacks.",Finaled,"165 GROVER LN, WALCR CA 94596",980,2026-07-18T09:11:10.158078
11741,B241627,11/24/2024,"Building New Construction, Additions, Alterations or Sign","HALL BATHROOM REMODEL * Remove the existing tub shower enclosure and replace with new tile shower and walls * Remove the existing toilet and vanity and replace with new toilet and vanity * Remove and replace vanity light and add recessed cans with fireproofing * Remove the existing electrical panel and replace to accept additional circuits",Finaled,"3223 ROSSMOOR PKWY, 2, WALCR CA 94595",979,2026-07-18T09:11:06.486639
11732,B241629,11/25/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN AND BATHROOMS REMODEL: Replace kitchen cabinets, kitchen lighting, bathroom vanities and toilets.",Finaled,"1458 STANLEY DOLLAR DR, 2A, WALCR CA 94595",978,2026-07-18T09:11:02.871246
11729,B241631,11/25/2024,"Building New Construction, Additions, Alterations or Sign","TWO BATHROOM REMODELS: Primary Bath: demo tile wall and replace with new composite walls. Install new plumbing behind plumb wall. Expand neo angle shower base to 60"" pan base. Install tempered shower door. Replace medicine cabinet. Hall Bath: demo and replace tub and install new composite walls. Install tempered glass panel shower door. Remove and Replace 2 toilets with new wax seal.",Finaled,"2100 SKYCREST DR, 11, WALCR CA 94595",978,2026-07-18T09:11:02.871246
11725,B241633,11/25/2024,"Building New Construction, Additions, Alterations or Sign","Like for Like kitchen remodel with new electrical circuits. New exhaust fan. New sink plumbing.",Finaled,"2755 SAN CARLOS DR, WALCR CA 94598",978,2026-07-18T09:11:02.871246
11720,M242302,11/25/2024,"Mechanical, Electrical, or Plumbing Only","Complete electrical rewiring of house, except (kitchen and two bathrooms already included new wiring in previous permit). Additional added LED lighting in living rm, family rm, primary bedroom, hallway, laundry rm. Add half bath, replace electrical panel main panel like for like",Void,"1570 ENCANTO PL, WALCR CA 94597",977,2026-07-18T09:10:58.722794
11708,M242293,11/26/2024,"Mechanical, Electrical, or Plumbing Only","Tub to shower remodel",Void,"1372 ROCKLEDGE LN, 1, WALCR CA 94595",976,2026-07-18T09:10:54.867935
11706,B241635,11/26/2024,"Building New Construction, Additions, Alterations or Sign","Remodel existing bedroom and add a bathroom",Finaled,"2506 CASCADE DR, WALCR CA 94598",976,2026-07-18T09:10:54.867935
11705,B241636,11/26/2024,"Building New Construction, Additions, Alterations or Sign","Primary Bathroom Remodel, Acoustic Ceiling Overlay, Toilets",Finaled,"1501 ROCKLEDGE LN, 2, WALCR CA 94595",976,2026-07-18T09:10:54.867935
11689,B241641,11/27/2024,"Building New Construction, Additions, Alterations or Sign","Tub to shower remodel.",Finaled,"1372 ROCKLEDGE LN, 1, WALCR CA 94595",975,2026-07-18T09:10:51.228359
11682,B241643,11/27/2024,"Building New Construction, Additions, Alterations or Sign","“Like of like” Hall Bathroom Remodeling Replacement of existing: Tub, shower faucet, vanity cabinet, top, faucet, wet wall, dry wall, ventilation fan, vanity light, tile. Resetting of existing toilet.",Finaled,"1406 LOS VECINOS, WALCR CA 94598",974,2026-07-18T09:10:47.799638
11671,B241648,11/28/2024,"Building New Construction, Additions, Alterations or Sign","Installing mudsill to concrete foundation anchors (Simpson Strong-Tie UFP10) and floor to mudsill clips (Simpson Strong-Tie LC90). - seismic retrofit in accordance with Standard Plan Set A",Finaled,"304 DEERPARK CT, WALCR CA 94598",973,2026-07-18T09:10:43.967335
11666,B241650,12/01/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen remodel w/appliances,quartz counter tops , new faucet,garbage disposal,replace fluorecent lighting for LED Hall and master bathroom remodel,new valve mixers ,tile shower pans and tile all away in shower walls,install new toilets and vanitys and exahust fans . Add recessed lighting in living/dinning room Update hallway lighting to led Replace kitchen window whit milgard new construction window",Finaled,"3258 ROSSMOOR PKWY, 2, WALCR CA 94595",973,2026-07-18T09:10:43.967335
11662,B241651,12/01/2024,"Building New Construction, Additions, Alterations or Sign","Master and guest bathroom shower remodel, upgrade electrical panel, install recessed lighting in kitchen, run new electrical for fans in master and guest bedrooms",Finaled,"2105 CACTUS CT, 3, WALCR CA 94595",972,2026-07-18T09:10:40.656266
11658,R24367,12/02/2024,"Building Revision to Issued Permit","Alternates #4-10 added and incorporated to set. See sheet A4.2 for summary of these alternates. Alternates include change of tub to shower, kitchen layout, additional lights, and change of finishes. - REVISION TO B231642","Revision Issued","1217 RUNNING SPRINGS RD, 5, WALCR CA 94595",972,2026-07-18T09:10:40.656266
11635,B241657,12/02/2024,"Building New Construction, Additions, Alterations or Sign","Master Bathroom Remodel - Like for like (no layout change). Convert built-in tub to free-standing tub. Upgrade plumbing and electrical per code. Install 3 recessed lights. Install moisture sensor fan.",Finaled,"1916 ASPENRIDGE CT, WALCR CA 94597",970,2026-07-18T09:10:31.951167
11623,B241663,12/02/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL including: remove existing cabinets, countertops, appliances, drywall and flooring. Update electrical circuits as needed, new plumbing, install new drywall, paint walls and ceiling, install new cabinets, countertops, appliances and fixtures. NO STRUCTURAL WORK TO BE PERFORMED.",Finaled,"3142 GREY EAGLE DR, WALCR CA 94595",969,2026-07-18T09:10:28.323154
11621,B241658,12/03/2024,"Building New Construction, Additions, Alterations or Sign","Bathroom Remodel like for like: new cabinets, counters & shower area; add 2 new can lights.",Finaled,"1240 CROWN CT, WALCR CA 94597",969,2026-07-18T09:10:28.323154
11619,B241660,12/03/2024,"Building New Construction, Additions, Alterations or Sign","Like for Like kitchen remodel new cabinets, countertops and island new LED recessed lighting",Finaled,"2127 WILMINGTON DR, WALCR CA 94596",969,2026-07-18T09:10:28.323154
11614,B241662,12/03/2024,"Building New Construction, Additions, Alterations or Sign","CONVERT (E) GARAGE TO ADU. REMODEL KITCHEN.",Finaled,"1868 DANIELLE CT, A, WALCR 94598",968,2026-07-18T09:10:24.656963
11586,B241668,12/04/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN REMODEL",Finaled,"2878 SAKLAN INDIAN DR, WALCR CA 94595",966,2026-07-18T09:10:16.886916
11569,B241671,12/04/2024,"Building New Construction, Additions, Alterations or Sign","* Kitchen Remodel * Install new LED light fixtures",Finaled,"1509 SKYCREST DR, 3, WALCR CA 94595",965,2026-07-18T09:10:12.789156
11548,B241679,12/05/2024,"Building New Construction, Additions, Alterations or Sign","GUEST BATHROOM REMODEL LIKE FOR LIKE NO STRUCTURAL CHANGES REPLACE SHOWER, VANITY, TOILET, FAN INSTALL LIGHTS UPGRADE M-E-P TO CODE",Finaled,"538 SPOTTED OWL CT, WALCR CA 94595",963,2026-07-18T09:10:06.081500
11541,B241680,12/05/2024,"Building New Construction, Additions, Alterations or Sign","Remodel kitchen and bathroom  Remove non bearing walls for open kitchen Remove wall between two openings for 17' opening",Finaled,"2133 PINE KNOLL DR, 1, WALCR CA 94595",962,2026-07-18T09:10:02.419541
11522,B241687,12/06/2024,"Building New Construction, Additions, Alterations or Sign","Remodel Primary Bathroom: New rough-in valve, shower pan, floor to ceiling single panel shower walls, new finish fixtures, new bypass shower doors.",Finaled,"711 TERRA CALIFORNIA DR, 2, WALCR CA 94595",961,2026-07-18T09:09:57.654501
11477,B241690,12/09/2024,"Building New Construction, Additions, Alterations or Sign","Foundation repair using 17 push piers and 7 screw jacks.",Finaled,"3350 WESTPORT CT, WALCR CA 94598",957,2026-07-18T09:09:43.788848
11457,B241691,12/09/2024,"Building New Construction, Additions, Alterations or Sign","Convert Garage to JADU",Finaled,"237 SANTA FEE DR, A, WALCR 94598",955,2026-07-18T09:09:36.780049
11446,B250035,12/09/2024,"Building New Construction, Additions, Alterations or Sign","Removal of two walls. Addition of 1 or 2 structural beams. Addition of 1 floor beam. Addition of 1, 2, or 3 posts to support structural beams",Finaled,"1882 APOLLO CT, WALCR CA 94598",954,2026-07-18T09:09:32.959481
11427,B241699,12/10/2024,"Building New Construction, Additions, Alterations or Sign","NEW 992 SQ FT DETACHED ADU REVISIONS: R25275",Issued,"16 DOGWOOD CT, A, WALCR 94598",953,2026-07-18T09:09:28.622877
11426,B241700,12/10/2024,"Building New Construction, Additions, Alterations or Sign","Kitchen Remodel (like for like)",Finaled,"693 WHIPPOORWILL CT, WALCR CA 94598",953,2026-07-18T09:09:28.622877
11420,B241711,12/10/2024,"Building New Construction, Additions, Alterations or Sign","KITCHEN AND BATHROOM REMODEL",Finaled,"1200 SINGINGWOOD CT, 7, WALCR CA 94595",952,2026-07-18T09:09:25.587045
11403,B241707,12/11/2024,"Building New Construction, Additions, Alterations or Sign","`SHOWER REMODEL LIKE FOR LIKE ONLY APT 2118 only",Finaled,"1840 TICE CREEK DR, 2118, WALCR CA 94595",951,2026-07-18T09:09:21.612685
